,attendance,box_score_text,game_date,game_remarks,game_start_time,team1_pts,team1_name,overtimes,team2_pts,team2_name,playoffs,season,location,date,home,Timezone,Lat,Long,Location,Timezone_home,Lat_home,Long_home,prev_game_date,prev_game_location,prev_game_lat,prev_game_long,prev_opponent,opp_prev_game_date,opp_prev_game_location,opp_prev_game_lat,opp_prev_game_long,2prev_game_location,2prev_game_lat,2prev_game_long,3prev_game_location,3prev_game_lat,3prev_game_long,4prev_game_location,4prev_game_lat,4prev_game_long,5prev_game_location,5prev_game_lat,5prev_game_long,6prev_game_location,6prev_game_lat,6prev_game_long,7prev_game_location,7prev_game_lat,7prev_game_long,8prev_game_location,8prev_game_lat,8prev_game_long,9prev_game_location,9prev_game_lat,9prev_game_long,10prev_game_location,10prev_game_lat,10prev_game_long,11prev_game_location,11prev_game_lat,11prev_game_long,game_of_trip,total_trip_distance,prev_game_timezone,rest,opp_rest,rest_diff,timezone_change,home_timezone_change,travel_distance,is_series_game2,won,won_prev_game,attendance_capacity
136,750.0,Box Score,"Sun, Dec 27, 2020",,7:00p,98.0,New Orleans Pelicans,,95.0,San Antonio Spurs,N,2021,New Orleans Pelicans,2020-12-27,Y,2,29.95,-90.08,New Orleans Pelicans,2,29.95,-90.08,2020-12-25,Miami Heat,25.775278,-80.208889,Miami Heat,2020-12-26,San Antonio Spurs,29.425,-98.493889,Toronto Raptors,43.741667,-79.373333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,0,611.1112041230139,False,True,False,750.0
137,750.0,Box Score,"Sun, Dec 27, 2020",,7:00p,95.0,San Antonio Spurs,,98.0,New Orleans Pelicans,N,2021,New Orleans Pelicans,2020-12-27,N,2,29.95,-90.08,San Antonio Spurs,2,29.425,-98.493889,2020-12-26,San Antonio Spurs,29.425,-98.493889,Toronto Raptors,2020-12-25,Miami Heat,25.775278,-80.208889,Memphis Grizzlies,35.1175,-89.971111,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,460.8243535974171,2.0,1.0,2.0,-1.0,0.0,0,460.8243535974171,False,False,True,750.0
138,750.0,Box Score,"Sat, Jan 2, 2021",,7:30p,116.0,Toronto Raptors,,120.0,New Orleans Pelicans,N,2021,New Orleans Pelicans,2021-01-02,N,2,29.95,-90.08,Toronto Raptors,1,43.741667,-79.373333,2020-12-31,Toronto Raptors,43.741667,-79.373333,New York Knicks,2020-12-31,Oklahoma City Thunder,35.468611,-97.521389,Philadelphia 76ers,39.952778,-75.163611,San Antonio Spurs,29.425,-98.493889,Toronto Raptors,43.741667,-79.373333,,,,,,,,,,,,,,,,,,,,,,1.0,1116.838689665884,1.0,2.0,2.0,0.0,1.0,1,1116.838689665884,False,False,True,750.0
139,750.0,Box Score,"Sat, Jan 2, 2021",,7:30p,120.0,New Orleans Pelicans,,116.0,Toronto Raptors,N,2021,New Orleans Pelicans,2021-01-02,Y,2,29.95,-90.08,New Orleans Pelicans,2,29.95,-90.08,2020-12-31,Oklahoma City Thunder,35.468611,-97.521389,Oklahoma City Thunder,2020-12-31,Toronto Raptors,43.741667,-79.373333,Phoenix Suns,33.45,-112.066667,New Orleans Pelicans,29.95,-90.08,Miami Heat,25.775278,-80.208889,Toronto Raptors,43.741667,-79.373333,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,0.0,0.0,0,556.844803551046,False,True,True,750.0
140,,Box Score,"Sun, Dec 27, 2020",,3:30p,73.0,Los Angeles Clippers,,124.0,Dallas Mavericks,N,2021,Los Angeles Clippers,2020-12-27,Y,4,34.05,-118.25,Los Angeles Clippers,4,34.05,-118.25,2020-12-25,Denver Nuggets,39.739167,-104.990278,Denver Nuggets,2020-12-25,Los Angeles Lakers,34.05,-118.25,Los Angeles Lakers,34.05,-118.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,2.0,0.0,1.0,0,823.5567453303336,False,False,True,
141,,Box Score,"Sun, Dec 27, 2020",,3:30p,124.0,Dallas Mavericks,,73.0,Los Angeles Clippers,N,2021,Los Angeles Clippers,2020-12-27,N,4,34.05,-118.25,Dallas Mavericks,2,32.779167,-96.808889,2020-12-25,Los Angeles Lakers,34.05,-118.25,Los Angeles Lakers,2020-12-25,Denver Nuggets,39.739167,-104.990278,Phoenix Suns,33.45,-112.066667,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,4.0,2.0,2.0,0.0,0.0,2,0.0,False,True,False,
142,,Box Score,"Tue, Dec 29, 2020",,10:00p,124.0,Los Angeles Clippers,,101.0,Minnesota Timberwolves,N,2021,Los Angeles Clippers,2020-12-29,Y,4,34.05,-118.25,Los Angeles Clippers,4,34.05,-118.25,2020-12-27,Los Angeles Clippers,34.05,-118.25,Dallas Mavericks,2020-12-27,Los Angeles Lakers,34.05,-118.25,Denver Nuggets,39.739167,-104.990278,Los Angeles Lakers,34.05,-118.25,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,2.0,0.0,0.0,0,0.0,False,True,False,
143,,Box Score,"Tue, Dec 29, 2020",,10:00p,101.0,Minnesota Timberwolves,,124.0,Los Angeles Clippers,N,2021,Los Angeles Clippers,2020-12-29,N,4,34.05,-118.25,Minnesota Timberwolves,2,44.981944,-93.269167,2020-12-27,Los Angeles Lakers,34.05,-118.25,Los Angeles Lakers,2020-12-27,Los Angeles Clippers,34.05,-118.25,Utah Jazz,40.760833,-111.891111,Minnesota Timberwolves,44.981944,-93.269167,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1636.4070991883805,4.0,2.0,2.0,0.0,0.0,2,0.0,False,False,False,
144,,Box Score,"Wed, Dec 30, 2020",,10:00p,105.0,Portland Trail Blazers,,128.0,Los Angeles Clippers,N,2021,Los Angeles Clippers,2020-12-30,N,4,34.05,-118.25,Portland Trail Blazers,4,45.52,-122.681944,2020-12-28,Los Angeles Lakers,34.05,-118.25,Los Angeles Lakers,2020-12-29,Los Angeles Clippers,34.05,-118.25,Portland Trail Blazers,45.52,-122.681944,Portland Trail Blazers,45.52,-122.681944,,,,,,,,,,,,,,,,,,,,,,,,,2.0,827.5975894558081,4.0,2.0,1.0,1.0,0.0,0,0.0,False,False,True,
145,,Box Score,"Wed, Dec 30, 2020",,10:00p,128.0,Los Angeles Clippers,,105.0,Portland Trail Blazers,N,2021,Los Angeles Clippers,2020-12-30,Y,4,34.05,-118.25,Los Angeles Clippers,4,34.05,-118.25,2020-12-29,Los Angeles Clippers,34.05,-118.25,Minnesota Timberwolves,2020-12-28,Los Angeles Lakers,34.05,-118.25,Los Angeles Clippers,34.05,-118.25,Denver Nuggets,39.739167,-104.990278,Los Angeles Lakers,34.05,-118.25,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,2.0,-1.0,0.0,0,0.0,False,True,True,
